Sr. No.,Institute Code,Institute Name,Status,Total Intake,Location,Branch,cutoff
108,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Un-Aided, Autonomous, Linguistic Minority - Malyalam",630,Navi Mumbai,Info Tech.,91.18
109,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Un-Aided, Autonomous, Linguistic Minority - Malyalam",630,Navi Mumbai,ETRX & Tel. Comm.,76.56
110,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Un-Aided, Autonomous, Linguistic Minority - Malyalam",630,Navi Mumbai,ETRX & Comp. Sci,82.37
111,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,Comp. Engg.,95.22
112,3208,"Don Bosco Institute of Technology, Mumbai","Un-Aided, Religious Minority - Roman Catholics",300,Mumbai,Info Tech.,95.13
113,3208,"Don Bosco Institute of Technology, Mumbai","Un-Aided, Religious Minority - Roman Catholics",300,Mumbai,ETRX & Tel. Comm.,81.4
114,3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR","Un-Aided, Linguistic Minority - Sindhi",120,Mumbai,Comp. Engg.,78.05
115,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,Info Tech.,94.73
116,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,ETRX & Tel. Comm.,84.14
117,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,ETRX & Comp. Sci,85.4
118,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,Comp. Sci & Engg. (IoT & Cyber Security) - AI,85.33
